instrument_token	exchange_token	tradingsymbol	name	last_price	expiry	strike	tick_size	lot_size	instrument_type	segment	exchange
13413634	52397	NIFTY22FEB16550CE	NIFTY	0.0	2022-02-24	16550.0	0.05	50	CE	NFO-OPT	NFO
13413890	52398	NIFTY22FEB16550PE	NIFTY	0.0	2022-02-24	16550.0	0.05	50	PE	NFO-OPT	NFO
13414146	52399	NIFTY22FEB16600CE	NIFTY	0.0	2022-02-24	16600.0	0.05	50	CE	NFO-OPT	NFO
13414402	52400	NIFTY22FEB16600PE	NIFTY	0.0	2022-02-24	16600.0	0.05	50	PE	NFO-OPT	NFO
13414658	52401	NIFTY22FEB16650CE	NIFTY	0.0	2022-02-24	16650.0	0.05	50	CE	NFO-OPT	NFO
13414914	52402	NIFTY22FEB16650PE	NIFTY	0.0	2022-02-24	16650.0	0.05	50	PE	NFO-OPT	NFO
13415170	52403	NIFTY22FEB16700CE	NIFTY	0.0	2022-02-24	16700.0	0.05	50	CE	NFO-OPT	NFO
13415426	52404	NIFTY22FEB16700PE	NIFTY	0.0	2022-02-24	16700.0	0.05	50	PE	NFO-OPT	NFO
13415682	52405	NIFTY22FEB16750CE	NIFTY	0.0	2022-02-24	16750.0	0.05	50	CE	NFO-OPT	NFO
13415938	52406	NIFTY22FEB16750PE	NIFTY	0.0	2022-02-24	16750.0	0.05	50	PE	NFO-OPT	NFO
13416194	52407	NIFTY22FEB16800CE	NIFTY	0.0	2022-02-24	16800.0	0.05	50	CE	NFO-OPT	NFO
13416450	52408	NIFTY22FEB16800PE	NIFTY	0.0	2022-02-24	16800.0	0.05	50	PE	NFO-OPT	NFO
13416706	52409	NIFTY22FEB16850CE	NIFTY	0.0	2022-02-24	16850.0	0.05	50	CE	NFO-OPT	NFO
13416962	52410	NIFTY22FEB16850PE	NIFTY	0.0	2022-02-24	16850.0	0.05	50	PE	NFO-OPT	NFO
13417218	52411	NIFTY22FEB16900CE	NIFTY	0.0	2022-02-24	16900.0	0.05	50	CE	NFO-OPT	NFO
13417474	52412	NIFTY22FEB16900PE	NIFTY	0.0	2022-02-24	16900.0	0.05	50	PE	NFO-OPT	NFO
13417730	52413	NIFTY22FEB16950CE	NIFTY	0.0	2022-02-24	16950.0	0.05	50	CE	NFO-OPT	NFO
13417986	52414	NIFTY22FEB16950PE	NIFTY	0.0	2022-02-24	16950.0	0.05	50	PE	NFO-OPT	NFO
13418242	52415	NIFTY22FEB17000CE	NIFTY	0.0	2022-02-24	17000.0	0.05	50	CE	NFO-OPT	NFO
13418498	52416	NIFTY22FEB17000PE	NIFTY	0.0	2022-02-24	17000.0	0.05	50	PE	NFO-OPT	NFO
13418754	52417	NIFTY22FEB17050CE	NIFTY	0.0	2022-02-24	17050.0	0.05	50	CE	NFO-OPT	NFO
13419010	52418	NIFTY22FEB17050PE	NIFTY	0.0	2022-02-24	17050.0	0.05	50	PE	NFO-OPT	NFO
13419266	52419	NIFTY22FEB17100CE	NIFTY	0.0	2022-02-24	17100.0	0.05	50	CE	NFO-OPT	NFO
13419522	52420	NIFTY22FEB17100PE	NIFTY	0.0	2022-02-24	17100.0	0.05	50	PE	NFO-OPT	NFO
13419778	52421	NIFTY22FEB17150CE	NIFTY	0.0	2022-02-24	17150.0	0.05	50	CE	NFO-OPT	NFO
13420034	52422	NIFTY22FEB17150PE	NIFTY	0.0	2022-02-24	17150.0	0.05	50	PE	NFO-OPT	NFO
13420290	52423	NIFTY22FEB17200CE	NIFTY	0.0	2022-02-24	17200.0	0.05	50	CE	NFO-OPT	NFO
13420546	52424	NIFTY22FEB17200PE	NIFTY	0.0	2022-02-24	17200.0	0.05	50	PE	NFO-OPT	NFO
13420802	52425	NIFTY22FEB17250CE	NIFTY	0.0	2022-02-24	17250.0	0.05	50	CE	NFO-OPT	NFO
13421058	52426	NIFTY22FEB17250PE	NIFTY	0.0	2022-02-24	17250.0	0.05	50	PE	NFO-OPT	NFO
13421314	52427	NIFTY22FEB17300CE	NIFTY	0.0	2022-02-24	17300.0	0.05	50	CE	NFO-OPT	NFO
13421570	52428	NIFTY22FEB17300PE	NIFTY	0.0	2022-02-24	17300.0	0.05	50	PE	NFO-OPT	NFO
13421826	52429	NIFTY22FEB17350CE	NIFTY	0.0	2022-02-24	17350.0	0.05	50	CE	NFO-OPT	NFO
13422082	52430	NIFTY22FEB17350PE	NIFTY	0.0	2022-02-24	17350.0	0.05	50	PE	NFO-OPT	NFO
13422338	52431	NIFTY22FEB17400CE	NIFTY	0.0	2022-02-24	17400.0	0.05	50	CE	NFO-OPT	NFO
13422594	52432	NIFTY22FEB17400PE	NIFTY	0.0	2022-02-24	17400.0	0.05	50	PE	NFO-OPT	NFO
13422850	52433	NIFTY22FEB17450CE	NIFTY	0.0	2022-02-24	17450.0	0.05	50	CE	NFO-OPT	NFO
13423106	52434	NIFTY22FEB17450PE	NIFTY	0.0	2022-02-24	17450.0	0.05	50	PE	NFO-OPT	NFO
13423362	52435	NIFTY22FEB17500CE	NIFTY	0.0	2022-02-24	17500.0	0.05	50	CE	NFO-OPT	NFO
13423618	52436	NIFTY22FEB17500PE	NIFTY	0.0	2022-02-24	17500.0	0.05	50	PE	NFO-OPT	NFO
13423874	52437	NIFTY22FEB17550CE	NIFTY	0.0	2022-02-24	17550.0	0.05	50	CE	NFO-OPT	NFO
13424130	52438	NIFTY22FEB17550PE	NIFTY	0.0	2022-02-24	17550.0	0.05	50	PE	NFO-OPT	NFO
13424386	52439	NIFTY22FEB17600CE	NIFTY	0.0	2022-02-24	17600.0	0.05	50	CE	NFO-OPT	NFO
13424642	52440	NIFTY22FEB17600PE	NIFTY	0.0	2022-02-24	17600.0	0.05	50	PE	NFO-OPT	NFO
13424898	52441	NIFTY22FEB17650CE	NIFTY	0.0	2022-02-24	17650.0	0.05	50	CE	NFO-OPT	NFO
13425154	52442	NIFTY22FEB17650PE	NIFTY	0.0	2022-02-24	17650.0	0.05	50	PE	NFO-OPT	NFO
13425410	52443	NIFTY22FEB17700CE	NIFTY	0.0	2022-02-24	17700.0	0.05	50	CE	NFO-OPT	NFO
13425666	52444	NIFTY22FEB17700PE	NIFTY	0.0	2022-02-24	17700.0	0.05	50	PE	NFO-OPT	NFO
13425922	52445	NIFTY22FEB17750CE	NIFTY	0.0	2022-02-24	17750.0	0.05	50	CE	NFO-OPT	NFO
13426178	52446	NIFTY22FEB17750PE	NIFTY	0.0	2022-02-24	17750.0	0.05	50	PE	NFO-OPT	NFO
13426434	52447	NIFTY22FEB17800CE	NIFTY	0.0	2022-02-24	17800.0	0.05	50	CE	NFO-OPT	NFO
13426690	52448	NIFTY22FEB17800PE	NIFTY	0.0	2022-02-24	17800.0	0.05	50	PE	NFO-OPT	NFO
13426946	52449	NIFTY22FEB17850CE	NIFTY	0.0	2022-02-24	17850.0	0.05	50	CE	NFO-OPT	NFO
13427202	52450	NIFTY22FEB17850PE	NIFTY	0.0	2022-02-24	17850.0	0.05	50	PE	NFO-OPT	NFO
13427458	52451	NIFTY22FEB17900CE	NIFTY	0.0	2022-02-24	17900.0	0.05	50	CE	NFO-OPT	NFO
13427714	52452	NIFTY22FEB17900PE	NIFTY	0.0	2022-02-24	17900.0	0.05	50	PE	NFO-OPT	NFO
13427970	52453	NIFTY22FEB17950CE	NIFTY	0.0	2022-02-24	17950.0	0.05	50	CE	NFO-OPT	NFO
13428226	52454	NIFTY22FEB17950PE	NIFTY	0.0	2022-02-24	17950.0	0.05	50	PE	NFO-OPT	NFO
13428482	52455	NIFTY22FEB18000CE	NIFTY	0.0	2022-02-24	18000.0	0.05	50	CE	NFO-OPT	NFO
13428738	52456	NIFTY22FEB18000PE	NIFTY	0.0	2022-02-24	18000.0	0.05	50	PE	NFO-OPT	NFO
13428994	52457	NIFTY22FEB18050CE	NIFTY	0.0	2022-02-24	18050.0	0.05	50	CE	NFO-OPT	NFO
13429250	52458	NIFTY22FEB18050PE	NIFTY	0.0	2022-02-24	18050.0	0.05	50	PE	NFO-OPT	NFO
13429506	52459	NIFTY22FEB18100CE	NIFTY	0.0	2022-02-24	18100.0	0.05	50	CE	NFO-OPT	NFO
13429762	52460	NIFTY22FEB18100PE	NIFTY	0.0	2022-02-24	18100.0	0.05	50	PE	NFO-OPT	NFO
13430018	52461	NIFTY22FEB18150CE	NIFTY	0.0	2022-02-24	18150.0	0.05	50	CE	NFO-OPT	NFO
13430274	52462	NIFTY22FEB18150PE	NIFTY	0.0	2022-02-24	18150.0	0.05	50	PE	NFO-OPT	NFO
13430530	52463	NIFTY22FEB18200CE	NIFTY	0.0	2022-02-24	18200.0	0.05	50	CE	NFO-OPT	NFO
13430786	52464	NIFTY22FEB18200PE	NIFTY	0.0	2022-02-24	18200.0	0.05	50	PE	NFO-OPT	NFO
13431042	52465	NIFTY22FEB18250CE	NIFTY	0.0	2022-02-24	18250.0	0.05	50	CE	NFO-OPT	NFO
13431298	52466	NIFTY22FEB18250PE	NIFTY	0.0	2022-02-24	18250.0	0.05	50	PE	NFO-OPT	NFO
13431554	52467	NIFTY22FEB18300CE	NIFTY	0.0	2022-02-24	18300.0	0.05	50	CE	NFO-OPT	NFO
13431810	52468	NIFTY22FEB18300PE	NIFTY	0.0	2022-02-24	18300.0	0.05	50	PE	NFO-OPT	NFO
13432066	52469	NIFTY22FEB18350CE	NIFTY	0.0	2022-02-24	18350.0	0.05	50	CE	NFO-OPT	NFO
13432322	52470	NIFTY22FEB18350PE	NIFTY	0.0	2022-02-24	18350.0	0.05	50	PE	NFO-OPT	NFO
13432578	52471	NIFTY22FEB18400CE	NIFTY	0.0	2022-02-24	18400.0	0.05	50	CE	NFO-OPT	NFO
13432834	52472	NIFTY22FEB18400PE	NIFTY	0.0	2022-02-24	18400.0	0.05	50	PE	NFO-OPT	NFO
13433090	52473	NIFTY22FEB18450CE	NIFTY	0.0	2022-02-24	18450.0	0.05	50	CE	NFO-OPT	NFO
13433346	52474	NIFTY22FEB18450PE	NIFTY	0.0	2022-02-24	18450.0	0.05	50	PE	NFO-OPT	NFO
13433602	52475	NIFTY22FEB18500CE	NIFTY	0.0	2022-02-24	18500.0	0.05	50	CE	NFO-OPT	NFO
13433858	52476	NIFTY22FEB18500PE	NIFTY	0.0	2022-02-24	18500.0	0.05	50	PE	NFO-OPT	NFO
13434114	52477	NIFTY22FEB18550CE	NIFTY	0.0	2022-02-24	18550.0	0.05	50	CE	NFO-OPT	NFO
13434370	52478	NIFTY22FEB18550PE	NIFTY	0.0	2022-02-24	18550.0	0.05	50	PE	NFO-OPT	NFO
13434626	52479	NIFTY22FEB18600CE	NIFTY	0.0	2022-02-24	18600.0	0.05	50	CE	NFO-OPT	NFO
13434882	52480	NIFTY22FEB18600PE	NIFTY	0.0	2022-02-24	18600.0	0.05	50	PE	NFO-OPT	NFO
13435138	52481	NIFTY22FEB18650CE	NIFTY	0.0	2022-02-24	18650.0	0.05	50	CE	NFO-OPT	NFO
13435394	52482	NIFTY22FEB18650PE	NIFTY	0.0	2022-02-24	18650.0	0.05	50	PE	NFO-OPT	NFO
13435650	52483	NIFTY22FEB18700CE	NIFTY	0.0	2022-02-24	18700.0	0.05	50	CE	NFO-OPT	NFO
13435906	52484	NIFTY22FEB18700PE	NIFTY	0.0	2022-02-24	18700.0	0.05	50	PE	NFO-OPT	NFO
13436162	52485	NIFTY22FEB18750CE	NIFTY	0.0	2022-02-24	18750.0	0.05	50	CE	NFO-OPT	NFO
13436418	52486	NIFTY22FEB18750PE	NIFTY	0.0	2022-02-24	18750.0	0.05	50	PE	NFO-OPT	NFO
13436674	52487	NIFTY22FEB18800CE	NIFTY	0.0	2022-02-24	18800.0	0.05	50	CE	NFO-OPT	NFO
13436930	52488	NIFTY22FEB18800PE	NIFTY	0.0	2022-02-24	18800.0	0.05	50	PE	NFO-OPT	NFO
13437186	52489	NIFTY22FEB18850CE	NIFTY	0.0	2022-02-24	18850.0	0.05	50	CE	NFO-OPT	NFO
13437442	52490	NIFTY22FEB18850PE	NIFTY	0.0	2022-02-24	18850.0	0.05	50	PE	NFO-OPT	NFO
13437698	52491	NIFTY22FEB18900CE	NIFTY	0.0	2022-02-24	18900.0	0.05	50	CE	NFO-OPT	NFO
13437954	52492	NIFTY22FEB18900PE	NIFTY	0.0	2022-02-24	18900.0	0.05	50	PE	NFO-OPT	NFO
13438210	52493	NIFTY22FEB18950CE	NIFTY	0.0	2022-02-24	18950.0	0.05	50	CE	NFO-OPT	NFO
13438466	52494	NIFTY22FEB18950PE	NIFTY	0.0	2022-02-24	18950.0	0.05	50	PE	NFO-OPT	NFO
13438722	52495	NIFTY22FEB19000CE	NIFTY	0.0	2022-02-24	19000.0	0.05	50	CE	NFO-OPT	NFO
13438978	52496	NIFTY22FEB19000PE	NIFTY	0.0	2022-02-24	19000.0	0.05	50	PE	NFO-OPT	NFO
13439234	52497	NIFTY22FEB19050CE	NIFTY	0.0	2022-02-24	19050.0	0.05	50	CE	NFO-OPT	NFO
13439490	52498	NIFTY22FEB19050PE	NIFTY	0.0	2022-02-24	19050.0	0.05	50	PE	NFO-OPT	NFO
9622530	37588	NIFTY22FEB19100CE	NIFTY	0.0	2022-02-24	19100.0	0.05	50	CE	NFO-OPT	NFO
9622786	37589	NIFTY22FEB19100PE	NIFTY	0.0	2022-02-24	19100.0	0.05	50	PE	NFO-OPT	NFO
9623042	37590	NIFTY22FEB19150CE	NIFTY	0.0	2022-02-24	19150.0	0.05	50	CE	NFO-OPT	NFO
9623298	37591	NIFTY22FEB19150PE	NIFTY	0.0	2022-02-24	19150.0	0.05	50	PE	NFO-OPT	NFO
10294274	40212	NIFTY22FEB19200CE	NIFTY	0.0	2022-02-24	19200.0	0.05	50	CE	NFO-OPT	NFO
10296066	40219	NIFTY22FEB19200PE	NIFTY	0.0	2022-02-24	19200.0	0.05	50	PE	NFO-OPT	NFO
10296322	40220	NIFTY22FEB19250CE	NIFTY	0.0	2022-02-24	19250.0	0.05	50	CE	NFO-OPT	NFO
10296578	40221	NIFTY22FEB19250PE	NIFTY	0.0	2022-02-24	19250.0	0.05	50	PE	NFO-OPT	NFO
10297346	40224	NIFTY22FEB19300CE	NIFTY	0.0	2022-02-24	19300.0	0.05	50	CE	NFO-OPT	NFO
10298114	40227	NIFTY22FEB19300PE	NIFTY	0.0	2022-02-24	19300.0	0.05	50	PE	NFO-OPT	NFO
9815810	38343	NIFTY22FEB19350CE	NIFTY	0.0	2022-02-24	19350.0	0.05	50	CE	NFO-OPT	NFO
9816066	38344	NIFTY22FEB19350PE	NIFTY	0.0	2022-02-24	19350.0	0.05	50	PE	NFO-OPT	NFO
9817346	38349	NIFTY22FEB19400CE	NIFTY	0.0	2022-02-24	19400.0	0.05	50	CE	NFO-OPT	NFO
9817602	38350	NIFTY22FEB19400PE	NIFTY	0.0	2022-02-24	19400.0	0.05	50	PE	NFO-OPT	NFO
9818114	38352	NIFTY22FEB19450CE	NIFTY	0.0	2022-02-24	19450.0	0.05	50	CE	NFO-OPT	NFO
9818370	38353	NIFTY22FEB19450PE	NIFTY	0.0	2022-02-24	19450.0	0.05	50	PE	NFO-OPT	NFO
11488258	44876	NIFTY22FEB19500CE	NIFTY	0.0	2022-02-24	19500.0	0.05	50	CE	NFO-OPT	NFO
11488514	44877	NIFTY22FEB19500PE	NIFTY	0.0	2022-02-24	19500.0	0.05	50	PE	NFO-OPT	NFO
12147458	47451	NIFTY22FEB19550CE	NIFTY	0.0	2022-02-24	19550.0	0.05	50	CE	NFO-OPT	NFO
12147714	47452	NIFTY22FEB19550PE	NIFTY	0.0	2022-02-24	19550.0	0.05	50	PE	NFO-OPT	NFO
10866178	42446	NIFTY22FEB19600CE	NIFTY	0.0	2022-02-24	19600.0	0.05	50	CE	NFO-OPT	NFO
10866434	42447	NIFTY22FEB19600PE	NIFTY	0.0	2022-02-24	19600.0	0.05	50	PE	NFO-OPT	NFO
10866690	42448	NIFTY22FEB19650CE	NIFTY	0.0	2022-02-24	19650.0	0.05	50	CE	NFO-OPT	NFO
10866946	42449	NIFTY22FEB19650PE	NIFTY	0.0	2022-02-24	19650.0	0.05	50	PE	NFO-OPT	NFO
10867202	42450	NIFTY22FEB19700CE	NIFTY	0.0	2022-02-24	19700.0	0.05	50	CE	NFO-OPT	NFO
10867458	42451	NIFTY22FEB19700PE	NIFTY	0.0	2022-02-24	19700.0	0.05	50	PE	NFO-OPT	NFO
12495874	48812	NIFTY22FEB19750CE	NIFTY	0.0	2022-02-24	19750.0	0.05	50	CE	NFO-OPT	NFO
12496130	48813	NIFTY22FEB19750PE	NIFTY	0.0	2022-02-24	19750.0	0.05	50	PE	NFO-OPT	NFO
9616386	37564	NIFTY22FEB19800CE	NIFTY	0.0	2022-02-24	19800.0	0.05	50	CE	NFO-OPT	NFO
9616642	37565	NIFTY22FEB19800PE	NIFTY	0.0	2022-02-24	19800.0	0.05	50	PE	NFO-OPT	NFO
